Author(s),Title,Year,Subject
Karl Gerth,China Made,2003,Asian history
Antonia Finnane,Speaking of Yangzhou,2004,Asian history
David Anthony Bello,Opium and the Limits of EmpireOpium and the Limits of Empire,2005,Asian history
Hosea Hirata,Discourses of Seduction,2005,Literary studies: general
David Der-wei Wang; Shang Wei (Editors),Dynastic Crisis and Cultural Innovation,2005,Literary studies: general
Sabina Knight,The Heart of Time,2006,Literary studies: general
Timothy J. Van Compernolle,The Uses of Memory,2006,Literary studies: general
Franziska Seraphim,"War Memory and Social Politics in Japan, 1945–2005",2006,Asian history
Richard Smethurst,From Foot Soldier to Finance Minister,2007,"Biography: historical, political & military"
Yuma Totani,The Tokyo War Crimes Trial,2008,Second World War
Calvin Chen,Some Assembly Required,2008,Asian history
Miryam Sas,Experimental Arts in Postwar Japan,2011,Art & design styles: from c 1960
Lillian Lan-ying Tseng,Picturing Heaven in Early China,2011,Oriental art
Jun Uchida,Brokers of Empire,2014,Social & cultural history
Hwansoo Ilmee Kim,Empire of the Dharma,2013,Buddhism
Jung-Sun N. Han,An Imperial Path to Modernity,2013,Modern history to 20th century: c 1700 to c 1900
Jamie L. Newhard,Knowing the Amorous Man,2013,Literary studies: general
Garret P. S. Olberding,Facing the Monarch,2013,Discourse analysis
Hiraku Shimoda,Lost and Found,2014,"Folklore, myths & legends"
Ma Zhao,"Runaway Wives, Urban Crimes, and Survival Tactics in Wartime Beijing, 1937-1949",2015,Asian history
Mingwei Song,Young China,2016,20th century history: c 1900  to c 2000
Elizabeth Kindall,Geo-Narratives of a Filial Son,2016,Asian history
Terry Kawashima,Itineraries of Power,2017,Anthologies (non-poetry)
Miya Elise Mizuta Lippit,Aesthetic Life,2019,Asian history
Brian Steininger,Chinese Literary Form in Heian Japan,2017,"Literary studies: classical, early & medieval"
Maren A. Ehlers,Give and Take,2018,Asian history
Takeshi Watanabe,Flowering Tales,2020,Literary studies: general
Edith Sarra,Unreal Houses,2020,History of architecture
Yi Gu,Chinese Ways of Seeing and Open-Air Painting,2020,Oriental art
Oliver Wendt,Assistive Technology: Principles and Applications for Communication Disorders and Special Education,2011,"Sign languages, Braille & other linguistic communication"
Jeffrey Runner; Jeffrey Runner (Editors),Experiments at the Interfaces,2011,Semantics
Mark Torrance; Denis Alamargot; Montserrat Castelló; Franck Ganier; Otto Kruse; Anne Mangen; Liliana Tolchinsky; Luuk van Waes (Editors),Learning to Write Effectively: Current Trends in European Research,2012,Education
Daniel Riha; Anna Maj (Volume Editors),The Real and the Virtual: Critical Issues in Cybercultures,2009,Cultural studies
Rosemary Hill; Karl Spracklen (Volume Editors),"Heavy Fundametalisms: Music, metal and Politics",2010,Cultural studies
Julian Chapple (Volume Editor),Boundaries: Dichotomies of Keeping in and Keeping Out,2010,Political control & freedoms
Stephen King; Carlo Salzani; Owen Staley (Volume Editors),"Law, Morality and Power: Global Perspectives on Violence and the State",2010,Social & political philosophy
Colin McKinnon; Niall Scott; Kristen Sollee (Volume Editors),"Can I Play with Madness? Metal, Dissonance, Madness and Alienation",2011,Cultural studies
Heather Levy; Tu?ba Sevinç Yücel (Volume Editors),Forgiveness: An Interdisciplinary Dialogue,2011,Social issues & processes
Gabriela Mádlo (Volume Editor),Is Planet Earth Green?,2013,Social impact of environmental issues
Sallie McNamara (Volume Editor),"(Re)Possessing Beauty: Politics, Poetics, Change",2014,Cultural studies
Deirdre Hynes; Annabel Kiernan (Editors),Football and Communities 2012,2013,Sociology: sport & leisure
Cosmin Sebastian Cercel; Cihan Ozpinar (Volume Editors),"Examining State and Evil: Authoritarian Slips, Past and Present",2013,Social & political philosophy
Renata Seredynska-Abou Eid,Diasporic Choices,2013,"Migration, immigration & emigration"
Gabriela Mádlo,Retold Feminine Memoirs: Our Collective Past and Present,2013,Literary studies: general
Tawnya Ravy; Eric Forcier (Editors),"Words, Worlds, Narratives: Transmedia and Immersion",2014,Literary studies: general
Clarissa Behar; Anastasia Chung (Editors),Images of Whiteness,2013,Cultural studies
Michael Heitkemper-Yates; Katarzyna Kaczmarczyk (Editors),"Learning to See: The Meanings, Modes and Methods of Visual Literacy",2016,Cultural studies
Tadeusz Lewandowski; Elisabeta Gabriela Ilie (Editors),The Bounds of Responsibility,2014,Cultural studies
Ruthy M. Watson,Spin Cycle,2016,Popular psychology
Jennifer Mata-McMahon; Tihana Kova?; Grace Grace (Editors),Spirituality: An Interdisciplinary View,2016,Spirituality & religious experience
Hassan Bashir; Susmita Roye (Volume Editors),Experiencing Otherness:Multidisciplinary Perspectives,2014,Cultural studies
Miriam Damrow; Helen Hearn (Editors),Conflicts in Childhood,2014,Social issues & processes
Niculae Gheran; Kristin L. Bone (Editors),Leave the Lights On: Literary and Other Monsters,2016,Literary studies: general
Elena Xeni,Explorations of Childhood,2016,Cultural studies
Anna Klambauer (Volume Editor),"Muses, Mystics, Madness: The Diagnosis and Celebration of Mental Illness",2016,Cultural studies
Anthony Gambrell; Debora Osborne; Lawrence Buttigieg (Editors),"Connecting, Rethinking and Embracing Difference",2016,Cultural studies
Irina Lyubchenko; Fiona Ann Papps (Editors),Schizo: The Liberatory Potential of Madness,2016,Cultural studies
Nate Hinerman; Holly Lynn Baumgartner (Editors),Blunt Traumas: Negotiating Suffering and Death,2016,Cultural studies
Diana Soeiro (Volume Editor),Exploring Issues of Confinement: Identity and Control,2016,Cultural studies
Allison Leadley (Volume Editor),Theorizing Sex and Disability: An Interdisciplinary Approach,2016,Disability: social aspects
Damayanthie Eluwawalage (Volume Editor),Fashion: Tyranny and Revelation,2016,Cultural studies
Rafael F. Narváez; Leslie R. Malland (Editors),"Time, Space and the Human Body: An Interdisciplinary Look",2016,Cultural studies
Robert Borsley; Robert Borsley (Editors),The Nature and Function of Syntactic Categories,1999,"Grammar, syntax"
Lutz Marten; Lutz Marten (Editors),The Dynamics of Language,2005,Linguistics
Lutz Marten; Lutz Marten (Editors),The Dynamics of Language,2005,Linguistics
B. Oswald; Anton Günther (Editors),Anton Günther,1990,Philosophy
Hans-Joachim Höhn,Vernunft - Glaube - Politik,1990,Social & political philosophy
Ursula Nothelle-Wildfeuer,Duplex ordo cognitionis,1991,Social & political philosophy
Simone Rappel,Macht euch die Erde untertan,1996,Social & political philosophy
Sarah K. Danielsson (Volume Editor),War and Sexual Violence,2019,Social & cultural history
Sebastian Hösch,Heimattage,2019,History of other lands
Birgit Aschmann; Heinz-Gerhard Justenhoven (Editors),Dès le début,2019,Christian theology
Lenka Fehrenbach,Bildfabriken,2020,Modern history to 20th century: c 1700 to c 1900
Harro Zimmermann,Ein deutscher Gotteskrieger?,2020,Modern history to 20th century: c 1700 to c 1900
Martin Dabrowski; Patricia Ehret; Mark Radtke (Volume Editors),Digitale Transformation und Solidarität,2020,Society & culture: general
Markus Tiedemann (Volume Editor),"Migration, Menschenrechte und Rassismus",2020,Ethics & moral philosophy
Konrad Vössing,Kaiser Domitian - Der Kampf um seine Nachfolge und um seine Göttlichkeit,2020,History of religion
Bernhard Emunds; Jonas Hagedorn; Eva Hänselmann; Marianne Heimbach-Steins (Editors),Pflegearbeit im Privathaushalt,2021,Religious ethics
Peter Schallenberg,Ethik der sozialen Marktwirtschaft,2019,Christianity
Michael Schwingenschlögl,"Subjektivität zwischen Zerfall, Willensfreiheit und Religion",2019,Literature: history & criticism
Colten Cheuk-Yin Yam,Trinity and Grace in Augustine,2019,"Western philosophy: Ancient, to c 500"
Filip Ga?czak,Polen geben wir nicht preis,2020,"Postwar 20th century history, from c 1945 to c 2000"
Henning Theißen; Knud Henrik Boysen (Volume Editors),Integration und Konversion,2021,"Calvinist, Reformed & Presbyterian Churches"
Matthias Frese; Julia Paulus (Volume Editors),Willkommenskulturen?,2020,Social & cultural history
Vladas Sirutavi?ius; Darius Stali?nas; Jurgita Šiau?i?nait?-Verbickien?,The History of Jews in Lithuania,2020,History of other lands
Günter Oesterle; Jochen Hörisch; Ernst Behler; Alexander von Bormann (Editors),Athenäum - 1. Jahrgang 1991- Jahrbuch für Romantik,1991,Literary studies: general
Günter Oesterle; Manfred Frank; Jochen Hörisch; Ernst Behler (Editors),Athenäum - 15. Jahrgang 2005,2005,Literary studies: general
Käthe Sicherl; Martin Sicherl,Die handschriftliche Überlieferung der Gedichte Gregors von Nazianz,2011,"Literary studies: classical, early & medieval"
Elisabeth Ströker; Hermann Lübbe (Editors),Ökologische Probleme im kulturellen Wandel,1986,Ethics & moral philosophy
Katrin Thomson,„Men and women will go through hell“: Die Aushandlung der Geschlechterfrage in amerikanischen Broadway-Dramen der Progressive Era (1890-1920),2021,Literary studies: post-colonial literature
Willi Henkel OMI; Josep-Ignasi Saranyana,Die Konzilien in Lateinamerika,2010,Christian Churches & denominations
Frederik C. Gerhardt,London 1916,2019,First World War
Manfred Ringmacher; Ute Tintemann; Michael Dürr; Klaus Zimmermann; Christian Lehmann; Wilhelm von Humboldt (Authors); Manfred Ringmacher; Ute Tintemann (Editors),Amerikanische Sprache / Wilhelm von Humboldt - Mittelamerikanische Grammatiken,2009,Historical & comparative linguistics
Karl-Joseph Hummel (Author); Bernhard Frings; Erik Gieseking; Karl-Joseph Hummel (Editors),Paulus van Husen (1891-1971),2010,"Biography: historical, political & military"
Christoph Kösters; Erik Gieseking; Karl-Joseph Hummel (Editors),Zwangsarbeit und katholische Kirche 1939-1945,2007,Christian Churches & denominations
Günther Massenkeil,Wort und Ton in christlicher Musik,2008,Sacred & religious music
Michael Prinz (Volume Editor),Gesellschaftlicher Wandel im Jahrhundert der Politik,2007,Social & cultural history
Nikolay Tsyrempilov,Under the Shadow of White Tara,2021,Social & cultural history
Christoph Penning,Anton Graf Bossi-Fedrigotti,2021,Social & cultural history
Daniel Rumel,Liebe und Leerheit,2021,Christian theology
Raimund Fastenbauer,"Jud, Jahudi oder Zionist - der ausgegrenzte Feind",2021,History of religion
Horst Schmieja (Volume Editor),Commentarium Magnum In Aristotelis Physicorum Librum Septimum,2007,"Literary studies: classical, early & medieval"
Michael Bredeck,Das Zweite Vatikanum als Konzil des Aggiornamento,2007,Christian Churches & denominations
Meinhard Stark; Wladislaw Hedeler (Authors); Wladislaw Hedeler (Volume Editor),"KARLAG Das Karagandinsker ""Besserungsarbeitslager"" 1930-1959",2008,European history
Ralf van Bühren,Kunst und Kirche im 20. Jahrhundert,2008,Christianity
Heinz Hürten (Volume Editor),Akten deutscher Bischöfe zur Lage der Kirche 1918-1933,2007,Christian Churches & denominations
Claus Arnold,Die Römische Zensur der Werke Cajetans und Contarinis (1558-1601),2007,Christian Churches & denominations
Judith Wolf; Martin Dabrowski (Authors); Judith Wolf; Martin Dabrowski (Editors),Aufgaben und Grenzen des Sozialstaates,2007,Social & political philosophy
Alex Stock,Poetische Dogmatik: Gotteslehre,2007,Christianity
Jutta Nowosadtko,Stehendes Heer im Ständestaat,2011,Military history
Bernhard H.F. Taureck; Mateusz Kapustka; Christian Spies; Jörg Splett; Hansjürgen Verweyen; Dirk van de Loo; Andreas Matena; Peter Hofmann; Reinhard Hoeps (Authors); Andreas Matena; Peter Hofmann (Editors),ChristusBild,2010,New Testaments
Elena Sawtschenko,Die Kantaten von Johann Friedrich Fasch im Licht der pietistischen Frömmigkeit,2009,Sacred & religious music
Odo Marquard,Aesthetica und Anaesthetica,1989,Philosophy
Ronald D. Gerste,Duelle ums Weiße Haus,2008,Elections & referenda
Heinrich Lang,"Cosimo de' Medici, die Gesandten und die Condottieri",2009,European history
Hermann-Josef Große Kracht; Klaus Große Kracht; Hermann-Josef Große Kracht; Klaus Große Kracht (Editors),Religion - Recht - Republik,2014,Political control & freedoms
Ulrich Konrad (Volume Editor),Kirchenmusikalisches Jahrbuch - 96. Jahrgang 2012,2014,Sacred & religious music
Wibke Reger,THe Black Body of Literature. Colorism in American Fiction,2008,Literary studies: general
Bogdan Musial,Sowjetische Partisanen 1941-1944,2009,Second World War
Klaus von Stosch; Bernd J. Hartmann; Agnes Flöel; Eva M. Neuhaus; Klaus von Stosch; Christoph Thole; Martin F.-X. Wagner,Designer-Baby,2009,Ethics & moral philosophy
Stefan Samerski,"Pancratius Pfeiffer, der verlängerte Arm von Pius XII.",2013,Religious & spiritual leaders
Rainer Pöppinghege (Volume Editor),Tiere im Krieg,2009,Military history
Wolfgang Schröder,Hybrid Simulation of Flow Induce Noise,2009,Technical design
Hans-Peter Schwarz; Rudolf Morsey (Editors),Adenauer - Die letzten Lebensjahre 1963-1967,2009,"Biography: historical, political & military"
Klaus von Stosch; Klaus von Stosch; Klaus Bergdolt,Wahr oder Tolerant?,2009,Religion: general
Peter Nickl,Jacques Maritain,1992,Social & political philosophy
Hubert Wolf (Volume Editor),Grundlagenforschung III: 1701-1813,2010,Christian Churches & denominations
Elisabeth Thalhofer,Entgrenzung der Gewalt,2010,Political control & freedoms
Sabine Mecking; Janbernd Oebbecke (Editors),Zwischen Effizienz und Legitimität,2009,Public administration
Hans Rothe,"Puškin. Schicksal des Dichters, Wandlungen seiner Dichtung",2009,Literary studies: general
Annette Mertens (Volume Editor),Akten deutscher Bischöfe seit 1945,2010,Christian Churches & denominations
Stefan Pischinger; Jörg Seibel,Hybridantriebe für PKW: Die optimale Kombination von Verbrennungsmotor und Elektroantrieb,2010,Automotive technology & trades
Maria Neubrand; Josef Meyer zu Schlochtern; Herbert Haslinger; Josef Meyer zu Schlochtern; Roman A. Siebenrock (Editors),Wozu Fundamentaltheologie?,2010,Christianity
Andreas Herbst (Author); Mario Niemann; Andreas Herbst (Editors),SED-Kader: Die mittlere Ebene,2010,Political parties
Frank Kolb,"Tatort ""Troia""",2010,Ancient history: to c 500 CE
Maria Eschbach,Antwort auf das Wort,2010,Literary studies: general
Thomas Möllenbeck,Endliche Freiheit unendlich zu sein,2012,Philosophy: metaphysics & ontology
Hans-Joachim Höhn,Zeit und Sinn,2010,Philosophy of religion
Dieter Hartwig,Großadmiral Karl Dönitz,2010,Military history
Hans Rothe (Author); Hans Rothe (Volume Editor),Biblia Slavica,2010,Aspects of religion (non-Christian)
Hans Henning Hahn; Eva Hahn (Editors),Die Vertreibung im deutschen Erinnern,2012,European history
Ingo Haar; Michael Fahlbusch (Editors),Völkische Wissenschaften im 20. Jahrhundert,2010,Sociology
Wolfgang Bergsdorf; Sabine Doering-Manteuffel; Paul Mikat; Angela Treiber; Daniel Drascek; Heidrun Alzheimer (Editors),Jahrbuch für Europäische Ethnologie Dritte Folge 5 (2010),2010,Cultural studies
Ulrich Breuer; Nikolaus Wegmann (Editors),Athenäum,2010,Literary studies: general
Peter Janich; Ludwig Nastanky; Dorothee Meister; Reinhold Häb-Umbach; Peter Strohschneider; Christiane Floyd (Authors); Frank Göttmann; Thomas Reuther (Editors),Baustelle Informationsgesellschaft und Universität heute,2011,Science funding & policy
Helge Sodan,Staat und Verfassungsgerichtsbarkeit,2010,Human rights & civil liberties law
Klaus R. Schubert,Experimente zur Quarkmischung und zur Brechung der Quark-Antiquark-Symmetrie,2010,Particle & high-energy physics
Melanie Bender,Auf den Spuren von Narnia,2011,Literary studies: general
Dietrich Benner,Bildung und Kompetenz,2012,Philosophy & theory of education
Klaus Zierer; Wolf-Thorsten Saalfrank (Authors); Klaus Zierer; Wolf-Thorsten Saalfrank (Editors),Pädagogik der Antike,2012,History of education
Christian Th. Müller,US-Truppen und Sowjetarmee in Deutschland,2011,Military history
Winfried Böhm; Michel Soetard,"Jean-Jacques Rousseau, der Pädagoge",2012,History of education
Ralf Miggelbrink,50 Jahre nach dem Konzil,2012,"Roman Catholicism, Roman Catholic Church"
Benjamin Bunk,Bildung und soziale Bewegung,2018,Education
Ralf Koerrenz; Annika Blichmann (Editors),Pädagogische Reform im Horizont der Globalisierung,2014,Educational strategies & policy
Thomas Meckel,Konzil und Codex,2017,Ecclesiastical (canon) law
Andreas Hjort Møller,Der lebensphilosophische Frühromantiker,2014,Literary studies: general
Daniel Roos,"Julius Streicher und ""Der Stürmer"" 1923 - 1945",2014,"Biography: historical, political & military"
Michael Hampe,Hat die Oper eine Zukunft?,2013,Opera
Sabine Doering-Manteuffel; Angela Treiber; Daniel Drascek; Heidrun Alzheimer (Editors),Jahrbuch für Europäische Ethnologie. Dritte Folge 6- 2011,2011,Ethnic studies
Ansgar Weißer,"Die ""innere"" Landesgründung Nordrhein-Westfalens",2012,Politics & government
Christian Westerhoff,Zwangsarbeit im Ersten Weltkrieg,2012,European history
Hans Henning Hahn; Hans Henning Hahn; Robert Traba (Editors),Deutsch-Polnische Erinnerungsorte,2015,History
Hans Henning Hahn; Hans Henning Hahn; Robert Traba (Editors),Deutsch-Polnische Erinnerungsorte,2012,History
Hans Henning Hahn; Hans Henning Hahn; Robert Traba (Editors),Deutsch-Polnische Erinnerungsorte,2013,Social & cultural history
Pia Molitor,Partner in der Führung,2012,Geopolitics
Wilhelm von Humboldt (Author); Bernhard Hurch (Volume Editor),Baskische Wortstudien und Grammatik,2012,Historical & comparative linguistics
Hedwig Richter; Ralf Richter,"Die ""Gastarbeiter-Welt""",2012,"Migration, immigration & emigration"
Jan Erik Schulte; Bernd Wegner; Peter Lieb (Editors),Die Waffen-SS,2014,Military history
Winfried Baumgart (Volume Editor),Kaiser Friedrich III. - Tagebücher 1866-1888,2012,"Biography: historical, political & military"
Klaus-G. Hinzen,Archäoseismologie,2011,Volcanology & seismology
Judith Wolf; Martin Dabrowski; Karlies Abmeier (Editors),Gesundheitssystem und Gerechtigkeit,2012,Regional government
Thomas Bohrmann; Werner Veith; Stephan Zöller (Editors),Handbuch Theologie und Populärer Film,2012,Film theory & criticism
Peter C. Verhoef,Customer Value Management,2012,Customer services
Cornel Zwierlein (Volume Editor),Sicherheit und Krise,2012,Interdisciplinary studies
Michael Obermaier (Volume Editor),Humane Ökologie,2012,Philosophy & theory of education
Rudolf A. Mark,"Im Schatten des ""Great Game""",2012,Colonialism & imperialism
Tamar Amar-Dahl,Das zionistische Israel,2012,Middle Eastern history
Alfred Schäfer; Christiane Thompson (Editors),Spiel,2014,Philosophy & theory of education
Werner Schüßler; Renate Brandscheidt; Johannes Brantl; Maria Overdick-Gulden,"Herausforderung ""Mensch""",2012,Christianity
Joachim Wiemeyer (Volume Editor),Dialogprozesse in der Katholischen Kirche,2013,"Roman Catholicism, Roman Catholic Church"
Petra Buchwald,Selbstbewusst ins Leben,2012,Advice on education
Renate Girmes,Der Wert der Bildung,2012,Philosophy & theory of education
Klaus von Stosch; Tuba Isik; Klaus von Stosch (Editors),Prophetie in Islam und Christentum,2013,Islam
Ulli Roth,Gnadenlehre,2013,Christianity
Matthias Rogg; Christian Th. Müller (Editors),Das ist Militärgeschichte!,2013,Military history
Burkhard Spinnen,"Von der Schulter gefallen. Über die Frage, ob Literatur heute noch Kunst oder schon Dienstleistung ist",2012,Literary studies: general
Stephan Geiß,Bildung durch Naturwissenschaft,2013,Teaching of a specific subject
Arnd Bauerkämper; Natalia Rostislavleva (Authors); Arnd Bauerkämper; Natalia Rostislavleva (Editors),Sicherheitskulturen im Vergleich,2014,Warfare & defence
Hermann Josef Sieben (Author); Hermann Josef Sieben (Volume Editor),Ad Cresconium - An Cresconius,2014,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Carmen Winkel,Im Netz des Königs,2013,Military history
Marian Füssel; Michael Sikora (Editors),Kulturgeschichte der Schlacht,2014,Social & cultural history
Joachim von Braun; Joachim von Braun,Die Welternährungskrisen 2008 und 2011,2013,Agricultural economics
Ralf Koerrenz; Benjamin Bunk (Editors),Armut und Armenfürsorge,2014,Christian life & practice
Norbert Ricken; Hans-Christoph Koller; Rita Casale (Editors),Heterogenität,2014,Philosophy & theory of education
Marcus Mühlnikel,"»Fürst, sind Sie unverletzt?«",2014,European history
Karlheinz Ruhstorfer,Glaube im Aufbruch,2013,Christianity
Bernd Grzeszick,Die Teilung der staatlichen Gewalt,2013,Constitution: government & the state
Ulrich Berges,Die dunklen Seiten des guten Gottes,2013,Old Testaments
Lothar Häberle; Johannes Hattler (Editors),Ehe und Familie – Säulen des Gemeinwohls,2014,Regional government
Konrad Repgen (Author); Christoph Kampmann; Franz Bosbach (Editors),Dreißigjähriger Krieg und Westfälischer Friede,2015,Military history
Johannes Gramlich,Die Thyssens als Kunstsammler,2015,Industrialisation & industrial history
Alexander Amberger,Bahro - Harich - Havemann,2014,Marxism & Communism
Rudolf Schlögl; Thomas G. Kirsch; Dorothea Weltecke (Editors),Religion als Prozess,2015,Cultural studies
Hans Günter Hockerts; Bernhard Emunds (Editors),Den Kapitalismus bändigen,2015,Social & political philosophy
Georg Hoffmann,Fliegerlynchjustiz,2015,Military history
Lisa Anna Medrow; Daniel Münzner; Robert G. Radu (Editors),"Spionage, Geheimhaltung und Öffentlichkeit 1870 - 1940",2015,Espionage & secret services
Alfred Schäfer,Schulische Leistungsdiskurse,2015,Philosophy & theory of education
Dorothee Bauer; Dorothee Bauer,Olivier Messiaens Livre du Saint Sacrement,2015,History: specific events & topics
Dieter Witschen,Ethischer Pluralismus,2016,Ethics & moral philosophy
Daniela Blum,Der katholische Luther,2016,Religious & spiritual leaders
Martin Böhm,Die Royal Air Force und der Luftkrieg 1922–1945,2015,Air forces & warfare
Alfred Schäfer; Christiane Thompson (Editors),Gemeinschaft,0,Social & cultural history
Reto Heinzel,Theodor Mayer,2016,European history
Ulrich Breuer; Nikolaus Wegmann (Editors),Athenäum Jahrbuch der Friedrich Schlegel-Gesellschaft,2015,Literature: history & criticism
Sven Grosse,Ich glaube an die Eine Kirche,2015,Christianity
Bernhard Großfeld,Recht als Begegnung,2015,Law & society
Isabelle Faul,Friedrich Schlegels Ideen,2016,Philosophy
Janez Percic; Johannes Herzgsell (Editors),Große Denker des Jesuitenordens,2016,Christianity
Roger Paulin,August Wilhelm Schlegel,2017,"Literary studies: fiction, novelists & prose writers"
Ewald Blocher,Der Wasserbau-Staat,2016,African history
Susanne Lechner-Masser,Biblische Gestalten im Jüdischen Religionsunterricht,2017,Judaism
Gerhard Mertens; Winfried Böhm; Ursula Frost; Volker Ladenthin (Editors),Handbuch der Erziehungswissenschaft,2015,Education
Günther Jakobs,Nötigung,2015,Offences against the person
Wolfram Hogrebe; Peter M. Lynen; Walter Krämer; Claus Kiefer (Authors); Birgitt Haneklaus (Volume Editor),Interdisziplinäres Plenum Unschärfe,2016,Interdisciplinary studies
Bruno Bleckmann; Jonathan Groß,Historiker der Reichskrise des 3. Jahrhunderts I,2016,Social & cultural history
Ludger Honnefelder (Author); Isabelle Mandrella; Hannes Möhle (Editors),Was ist Wirklichkeit?,2016,Philosophy
Jens Westemeier,Himmlers Krieger,2014,Military history
Achim Lichtenberger; Bärbel Morstadt; Anne Riedel; Jan-Marc Henke; Alexander Berner (Authors); Alexander Berner; Jan-Marc Henke; Achim Lichtenberger; Bärbel Morstadt; Anne Riedel (Editors),Das Mittelmeer und der Tod,2016,Sociology: death & dying
Holger Löttel; Philipp Gassert; Hans Jörg Hennecke (Editors),Koalitionen in der Bundesrepublik,2017,Political leaders & leadership
Sebastian Koch,Zufluchtsort DDR?,2016,European history
Franz Gmainer-Pranzl; Beate Kowalski; Tony Neelankavil (Editors),Herausforderungen Interkultureller Theologie,2016,Comparative religion
Christoph Cornelißen; Nils Löffelbein; Silke Fehlemann (Editors),Europa 1914,2016,Social & cultural history
Jochen Strobel (Author); Jochen Strobel (Volume Editor),August Wilhelm Schlegel im Dialog,2016,Literary studies: general
Jochen Sautermeister; Elisabeth Zwick (Editors),Religion und Bildung: Antipoden oder Weggefährten?,2019,Religious instruction
Oswald Überegger (Author); Oswald Überegger (Volume Editor),Minderheiten-Soldaten,2018,First World War
Fahimah Ulfat,Die Selbstrelationierung muslimischer Kinder zu Gott,2017,Islam
Judith Rosen,Heinrich Hahn,2017,"Biography: historical, political & military"
Klaus Maresch,Die verkohlten Papyri aus Bubastos (P.Bub. III 6),2016,History: theory & methods
Detlef Schmiechen-Ackermann (Author); Detlef Schmiechen-Ackermann; Marlis Buchholz; Bianca Roitsch; Christiane Schröder (Editors),Der Ort der ›Volksgemeinschaft‹ in der deutschen Gesellschaftsgeschichte,2018,Social & cultural history
Bianca Roitsch,Mehr als nur Zaungäste,2018,The Holocaust
Heribert Hallermann,"„… dass nur öffentlich predige, wer gesandt ist.“",2017,Ecclesiastical (canon) law
Claudia Müller,Politische Religion und Katholizismus,2017,Religion & politics
Sigurd Sørlie,Sonnenrad und Hakenkreuz,2019,Second World War
Bodo Hechelhammer; Bodo V. Hechelhammer,Doppelagent Heinz Felfe entdeckt Amerika,2017,Espionage & secret services
Marianne Heimbach-Steins; Anna Maria Riedl (Editors),Kindeswohl zwischen Anspruch und Wirklichkeit,2017,Social theory
Hans Henning Hahn; Robert Traba (Editors),20 Deutsch-Polnische Erinnerungsorte,2018,European history
Hans Maier; Frank Kleinehagenbrock; Christoph Kösters (Editors),Profil und Prägung,2017,"Roman Catholicism, Roman Catholic Church"
Michael Maurer,Konfessionskulturen,2019,European history
Martina Wagner-Egelhaaf,Autobiographieforschung,2017,Literary studies: general
Phillipp Saure,Christliches Naturrecht in der pluralistischen Moderne,2017,Philosophy of religion
Franka Bindernagel,Deutschsprachige Migranten in Buenos Aires,2018,History of the Americas
Ulrich Breuer; Nikolaus Wegmann (Editors),Athenäum Jahrbuch der Friedrich Schlegel-Gesellellschaft,2017,Literary studies: c 1800 to c 1900
Hans-Christian Harten,Die weltanschauliche Schulung der Polizei im Nationalsozialismus,2018,Police & security services
Thomas Backhuys; Charikleia Armoni; Robert W. Daniel; Jannik Korte; Klaus Maresch; Gesa Schenke; Alkestis A. Spinou; Wolfgang Wegner,Kölner Papyri (P. Köln) Band 15,2017,Archaeology
Christian Kirchmeier (Volume Editor),"Athenäum Jahrbuch der Friedrich Schlegel-Gesellschaft, Sonderheft",2019,Literary studies: c 1800 to c 1900
Heinz Elmar Tenorth; Heinz-Elmar Tenorth,Wilhelm von Humboldt,2018,History of education
Faeza Yaqub,Nation und Nationalismus in Tadschikistan,2018,Social & cultural anthropology
Matthias Pulte; Thomas Meckel (Editors),Ius semper reformandum,2018,Ecclesiastical (canon) law
Giuseppe Franco (Author); Lothar Roos; Christian Müller; Elmar Nass; Johannes Zabel (Editors),Von Salamanca nach Freiburg: Joseph Höffner und die Soziale Marktwirtschaft,2018,Ethics & moral philosophy
Wolfgang Neugebauer,Preußische Geschichte als gesellschaftliche Veranstaltung,2018,Social & cultural history
Beata Halicka,Borderlands Biography,2021,History of other lands
Katharina Trittel,Hermann Rein und die Flugmedizin,2018,History of medicine
Judith Könemann; Denise Spiekermann (Editors),Katholische Schulen,2019,Faith (religious) schools
Felix K. Maier,Palastrevolution,2019,Biography: royalty
Martin Dabrowski; Judith Wolf (Editors),Armut und soziale Gerechtigkeit in Deutschland,2018,Social issues & processes
Philippe Rogger; Regula Schmid Keeling (Editors),Miliz oder Söldner?,2019,Military history
Jens Brüggemann,Männer von Ehre?,2018,Second World War
Thomas Pegelow Kaplan; Jürgen Matthäus; Mark W. Hornburg (Volume Editors),"Beyond ""Ordinary Men""",2019,The Holocaust
Peter M. Lynen; Mischa Kuball (Editors); Birgitt Haneklaus (Volume Editor),Public Art,2018,The arts: general issues
Peter Strasser,Ein Quäntchen Trost,2015,Philosophy
Edgar Allan Wolfe,Mr. Spock und der malerische Doppelmord zu Königsleben,2013,Literary studies: general
Heinz Otto Luthe,Distanz,1985,Social & political philosophy
Timo Bautz,Hegels Lehre von der Weltgeschichte,1988,Philosophy
Norbert Bolz,Eine kurze Geschichte des Scheins,1991,Philosophy: epistemology & theory of knowledge
Rainer Marten,Heidegger lesen,1991,Philosophy
Heinz Reinwald,Mythos und Methode,1991,Philosophy
Michael Jakob,Aussichten des Denkens,1994,Philosophy
Maurice Merleau-Ponty (Author); Bernhard Waldenfels (Volume Editor),Keime der Vernunft,1994,Philosophy
